MMS_ID,Language,Image_Path,Ground_Truth,AI_Confidence,AI_Detected_Text
9992829509501488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE16813525/REP16813529/FL16813531_DIGI_0020_095584_V.tif.LQ.jpg,Anvers. L'Escaut [03],0.51,"M5 | Carte postale | Post card | Dopisnice _ | Levelezð - | 8 | Iap | Karta | Dopisnica | Brefkort | Karta ı Korespondencyina | 0 | "" | Briefkaart | Cartolina | postale | Brevkpct | Tarjeta   postal | 1 | Cartao   postal | OTKPBITOE - IHCLMO | 8 | f | ~ | | | 1} | boe | 03ung laaeld_ | ~ | 83 | 1 | @Hue e~_fa_ | Bahcne | 8 | 11 | 8 | Å | Scric 460. | Queubag | 8"
9992463506201488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE13077202/REP13077217/FL13077220_DIGI_0020_108184_V.tif.LQ.jpg,Bruges. La Grand'Place [02],0.57,[#LS | Carte Postale. | Ccrrespondance | Adresse | 2 | 2 | ; | 1 | é
9992301905101488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE10096432/REP10096437/FL10096443_DIGI_0020_053096_V.tif.LQ.jpg,Namur. Panorama [07],0.43,"(STa | CARTE | POSTALE | Union postale universelle . | 6 | WezeMpostrereeniging | Jwn | hu- | 18-19 | 18 | BELGIQUE | úBPGIE | {Côté réservé à ladresge | Zijde voor het adrøs alleen ) | @/ | unarwh | æeeee4 | Aurasno | +rea{ | žnsu | 2lele , / 4, | n Zcsmeel | 45S(KAART"
9992421301601488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE12531740/REP12531753/FL12531757_DIGI_0020_075679_V.tif.LQ.jpg,Le matin de Waterloo,0.36,"fsana | eX | h-G_Jan_cks | Iache_ | %gzcàd | Dr | Tronkler | Bruxollea. | Wlo  | 80 . | Inuaaev | Hoaefp RL | Co:,"
9992141466401488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE5895488/REP5895506/FL5895508_DIGI_0020_14742_V.Low.jpg,Chimay. L'Athénée [02],0.57,CARTE | POSTALE | 624 | 9sts0 | Union   postale   universelle. | Wereldpostvereeniging. | BELGIQUE | BELGIE | (Côté réservé à l'adresse. | Zijde voor het adres alleen. | rff | eactmozell_ | Sa | Santvv | 10-11 | 10 | 8col | Aoernal | GiVP | Ae | goauqes
9992483892801488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE14272614/REP14272634/FL14272643_DIGI_0020_083084_V.tif.LQ.jpg,Arlon. Hôtel de Ville [02],0.54,"AM | 3 | 7900 | 00 | CARTE POSTALE | Ll-OL | 2 | 5 | 3970 | 8 | %6). | 4 Qe | Yun | Yolv | au | i^ )a, /au, d /"" Has | DEge | 8-9 | 5 | {v1s) | ~"
9992585382001488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE15526956/REP15526960/FL15526962_DIGI_0020_099380_V.tif.LQ.jpg,Anvers. Rubens,0.36,C ARTE | POSTKAART | 22 | MAÉs | 0 | {Cołé rêservé à Cadresse)~Zijde voorthet @798 qllern | 98 | 0 | 2/6 | 4e | deccsinld | [ill4 | ac86 | PostAL4EC | Yive | Lue | Jselh
9992521503401488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE13987409/REP13987413/FL13987415_DIGI_0020_111420_V.tif.LQ.jpg,Coo. Pont en bois [02],0.55,CARTE | POSTALE | POSTKAART | (Zijde voor het adres alleen | Côté réservé à ladresse ) | 02o | Yi | Ae1en1 | ~ | 41 | Ulv | @ | emoinlle | Comnianıe
9992488191901488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE14590079/REP14590086/FL14590090_DIGI_0020_084020_V.tif.LQ.jpg,Château des Amerois,0.47,JELs | Carte Postale | Correspondance | Adresse | 4 | 0 | 6
9992312710101488,fre,/scratch/leuven/387/vsc38790/Dataset_0003_PicturePostcards/IE10166215/REP10166230/FL10166236_DIGI_0020_054091_V.tif.LQ.jpg,Namur. Le Kursaal [04],0.48,[s | Carte Postale | 15-1€ | Correspondance | Adres | 14 | '1X | Skia | 2 | 1 | 28 | ZC | Zaceeey | Cla | Å | 1 | 4 $L | Pssasx | é | Oluuesa | Yues choisies | de la vallée de la Meuse. | II | Ja)
